Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Pot.type,Pwo,Wkw
5.1.CHout2_44,-29.47934,114.9571,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,44,1,13,,
5.1.CHout2_39,-29.47978,114.9569,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,39,1,13,1,
5.1.CHout2_6,-29.48009,114.9567,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,6,1,13,,
5.1.CHout2_10,-29.48038,114.9567,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,10,1,13,,
5.1.CHout2_47,-29.48082,114.957,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,47,1,13,,
5.1.CHout2_46,-29.48133,114.9568,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,46,1,13,,
5.1.CHout2_18,-29.48155,114.9568,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,18,1,13,X,
5.1.CHout2_37,-29.48219,114.9571,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,37,1,13,,
5.1.CHout2_8,-29.48252,114.9567,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,8,1,13,,
5.1.CHout2_3,-29.48292,114.9561,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,3,1,13,,
5.1.CHout2_45,-29.48299,114.9564,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,45,1,13,,
5.1.CHout2_50,-29.48363,114.9558,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,50,1,13,,
